GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
sir-wallet-app,sn.sir.wallet.sirwalletapp,SirWalletAppApplication,5,3,0,0,2,1,1,1,1,1
sir-wallet-app,sn.sir.wallet.sirwalletapp.service,ComptesService,40,75,0,0,10,17,2,6,2,6
sir-wallet-app,sn.sir.wallet.sirwalletapp.service,TransactionsService,308,12,6,0,65,5,15,1,12,1
sir-wallet-app,sn.sir.wallet.sirwalletapp.service,UsersService,6,112,0,0,2,26,1,8,1,8
sir-wallet-app,sn.sir.wallet.sirwalletapp.model,Users,0,59,0,0,0,26,0,13,0,13
sir-wallet-app,sn.sir.wallet.sirwalletapp.model,Comptes,0,56,0,0,0,24,0,12,0,12
sir-wallet-app,sn.sir.wallet.sirwalletapp.model,Transactions,24,42,0,0,12,16,6,8,6,8
sir-wallet-app,sn.sir.wallet.sirwalletapp.controller,ComptesController,15,6,0,0,4,3,3,1,3,1
sir-wallet-app,sn.sir.wallet.sirwalletapp.controller,TransactionsController,59,12,0,0,16,5,7,1,7,1
sir-wallet-app,sn.sir.wallet.sirwalletapp.controller,UsersController,20,6,0,0,6,3,4,1,4,1
